Date,Open,High,Low,Close,Adj Close,Volume
2022-06-24,96.949997,100.300003,96.650002,99.949997,94.422119,1409375
2022-06-27,101.000000,101.750000,99.550003,99.949997,94.422119,748425
2022-06-28,99.650002,101.800003,99.599998,101.449997,95.839157,584584
2022-06-29,100.699997,101.750000,99.550003,101.099998,95.508514,506414
2022-06-30,101.199997,102.300003,97.099998,97.349998,91.965912,803065
2022-07-01,97.800003,97.800003,95.699997,96.900002,91.540802,764144
2022-07-04,97.650002,99.900002,97.050003,98.449997,93.005074,594024
2022-07-05,99.000000,100.750000,98.400002,98.650002,93.194016,842632
2022-07-06,98.699997,100.650002,98.699997,99.449997,93.949768,881943
2022-07-07,100.699997,105.750000,100.699997,105.050003,99.240059,2794547
2022-07-08,105.900002,106.300003,103.949997,105.599998,99.759628,1170149
2022-07-11,104.199997,109.900002,104.199997,109.550003,103.491173,2240948
2022-07-12,108.900002,110.449997,108.199997,109.199997,103.160530,1531784
2022-07-13,109.250000,110.500000,108.150002,108.449997,102.452011,792900
2022-07-14,108.400002,108.400002,103.750000,105.199997,99.381760,1880602
2022-07-15,106.400002,106.400002,103.349998,104.050003,98.295364,1261346
2022-07-18,105.000000,108.300003,104.349998,108.000000,102.026901,1176499
2022-07-19,107.900002,113.000000,107.099998,112.650002,106.419724,2289555
2022-07-20,113.849998,114.449997,111.300003,112.050003,105.852913,1331047
2022-07-21,111.199997,114.250000,111.199997,113.949997,107.647820,1173352
2022-07-22,114.900002,116.449997,113.699997,116.050003,109.631691,1620495
2022-07-25,115.099998,116.750000,114.250000,115.150002,108.781456,931017
2022-07-26,115.900002,116.900002,114.599998,116.550003,110.104034,1016710
2022-07-27,116.199997,118.699997,116.199997,118.199997,111.662773,1235806
2022-07-28,118.599998,119.849998,116.500000,117.199997,110.718079,1435657
2022-07-29,118.000000,119.699997,115.599998,116.250000,109.820625,1583817
2022-08-01,118.050003,118.349998,113.349998,116.400002,109.962326,2082706
2022-08-02,116.300003,123.500000,116.000000,121.699997,114.969200,3682022
2022-08-03,121.699997,122.449997,119.199997,121.050003,114.355156,1055781
2022-08-04,120.699997,122.349998,116.150002,118.599998,112.040649,2346430
2022-08-05,118.750000,120.500000,117.599998,117.900002,111.379364,2099180
2022-08-08,117.599998,119.650002,116.449997,118.250000,111.710014,1044370
2022-08-10,118.000000,119.650002,117.699997,118.650002,112.087883,981590
2022-08-11,118.800003,124.300003,118.800003,123.199997,116.386238,2740176
2022-08-12,123.099998,124.099998,122.400002,123.150002,116.339012,1251670
2022-08-16,123.500000,125.199997,121.050003,121.650002,114.921974,1602162
2022-08-17,122.599998,127.000000,121.400002,126.599998,119.598198,2254485
2022-08-18,125.400002,126.949997,123.150002,123.900002,117.047531,1550587
2022-08-19,124.000000,124.400002,119.550003,120.250000,113.599396,1760217
2022-08-22,120.199997,120.199997,117.699997,118.250000,111.710014,964171
2022-08-23,116.300003,123.900002,116.300003,123.449997,116.622414,1775822
2022-08-24,123.000000,124.500000,121.050003,123.599998,116.764114,1576016
2022-08-25,123.449997,128.000000,123.449997,125.800003,118.842445,2613166
2022-08-26,126.500000,129.550003,126.500000,128.350006,121.251419,1432144
2022-08-29,122.500000,126.900002,122.150002,126.349998,119.362030,1504422
2022-08-30,127.099998,131.250000,127.099998,130.850006,123.613152,1784353
2022-09-01,129.949997,133.899994,129.500000,133.449997,126.069351,1711235
2022-09-02,134.699997,134.699997,130.800003,131.100006,123.849327,912228
2022-09-05,131.000000,134.800003,131.000000,133.850006,126.447235,787835
2022-09-06,134.199997,135.550003,132.100006,133.350006,125.974884,1243256
2022-09-07,133.050003,134.649994,132.649994,134.199997,126.777863,605930
2022-09-08,135.000000,139.850006,135.000000,138.399994,130.745575,2034590
2022-09-09,139.399994,141.699997,137.649994,138.000000,130.367706,1742543
2022-09-12,138.649994,139.949997,138.449997,138.850006,131.170700,744355
2022-09-13,139.899994,140.000000,138.300003,138.649994,130.981750,651069
